id	cluster
1	3
2	1
3	2
4	3
7	2
9	2
11	2
16	3
17	2
19	1
23	1
25	3
26	2
27	1
28	2
30	2
32	2
38	3
39	2
43	1
45	2
49	3
53	1
57	1
58	3
61	1
63	2
65	2
69	2
70	3
73	2
74	3
86	1
88	3
89	1
93	3
95	1
97	2
98	3
99	2
100	1
101	1
102	2
103	2
105	3
106	1
107	2
110	1
112	2
113	1
115	1
117	2
119	3
120	1
122	2
124	2
130	3
134	1
135	1
136	3
137	3
140	2
143	1
145	1
147	3
149	1
150	1
151	2
154	1
156	1
158	1
160	3
164	2
264	1
265	2
268	1
272	1
273	3
276	2
277	3
282	2
284	1
286	2
289	1
290	1
291	1
294	2
297	3
311	1
313	2
314	1
315	1
319	2
321	2
323	3
326	3
329	2
331	1
332	1
333	1
334	2
337	1
338	1
339	1
340	2
341	1
343	3
345	3
350	2
352	1
355	1
358	1
359	1
360	2
362	1
371	2
372	1
373	1
375	2
376	2
380	3
385	2
391	1
392	2
393	3
394	1
395	2
397	3
399	2
404	3
409	2
410	2
412	2
415	1
418	1
420	3
423	2
424	1
430	3
433	3
434	2
435	3
436	3
442	2
443	2
444	2
445	3
449	2
450	2
451	2
452	2
454	2
458	1
461	2
462	1
467	1
469	1
472	2
473	2
474	2
475	2
477	3
478	2
483	3
485	1
488	3
490	1
492	2
496	2
499	3
503	3
504	2
505	1
511	2
512	2
517	3
518	3
522	2
523	3
530	2
536	3
537	1
542	3
544	2
545	2
546	2
548	2
550	2
552	2
553	2
554	3
555	2
559	3
560	1
561	3
562	3
563	2
569	2
570	3
572	1
573	2
574	3
577	3
578	3
579	3
580	2
587	1
589	1
590	2
591	1
596	2
597	1
598	2
599	2
603	3
609	1
615	2
621	2
623	1
626	2
627	1
630	3
634	2
635	3
639	3
642	2
643	2
648	1
652	3
653	3
655	1
656	1
661	2
662	1
663	2
664	2
666	3
667	1
668	2
669	2
674	2
676	3
679	2
681	2
682	1
683	2
685	2
686	1
687	2
688	1
690	1
698	1
699	3
703	2
705	2
709	2
710	1
711	1
712	1
715	2
716	1
718	1
719	3
724	1
725	3
726	2
730	3
735	3
736	2
742	2
743	2
744	3
745	2
748	2
750	1
751	3
759	2
761	1
762	3
766	1
768	1
769	1
770	3
774	3
776	2
780	2
781	2
786	3
787	3
792	2
793	2
797	1
798	3
799	2
803	2
804	2
809	3
810	2
811	2
817	2
820	2
821	2
823	2
829	3
831	3
832	2
833	1
834	1
835	2
837	3
838	1
840	1
842	1
843	2
849	2
850	3
852	3
855	2
856	3
858	1
861	1
862	1
863	1
864	2
872	3
876	1
877	1
878	2
881	3
883	3
887	2
888	2
891	2
895	1
896	1
898	1
905	1
916	1
921	2
924	2
929	2
934	2
939	1
940	2
941	2
946	3
948	3
949	1
952	2
958	3
959	2
961	3
965	2
969	2
976	2
982	2
986	2
987	1
992	1
994	2
996	2
997	3
998	3
1004	2
1007	2
1010	3
1011	3
1013	2
1018	2
1022	2
1023	3
1024	3
1027	1
1034	2
1036	1
1044	2
1046	3
1047	2
1048	1
1050	1
1052	3
1053	3
1055	2
1056	3
1057	3
1058	2
1061	3
1062	2
1064	1
1067	3
1071	2
1074	2
1075	2
1077	3
1078	2
1079	1
1080	1
1082	1
1087	2
1090	2
1091	2
1093	2
1096	1
1097	3
1102	3
1105	1
1125	2
1128	1
1133	3
1134	1
1136	2
1137	1
1139	3
1140	1
1145	1
1146	2
1147	1
1150	1
1151	3
1152	2
1154	2
1158	1
1162	1
1163	1
1165	1
1171	1
1176	1
1178	3
1180	2
1182	1
1185	2
1187	2
1193	1
1196	2
1198	2
1201	2
1204	3
1208	1
1214	2
1220	3
1222	2
1223	3
